reference,status,expected_count,used_count,missed_count,used_pass_rate
common_mistakes.md,distractor,1,0,1,0.0
common_mistakes.md,optional,4,0,4,0.0
common_mistakes.md,required,12,6,6,100.0
common_tables.md,optional,1,0,1,0.0
common_tables.md,required,18,10,8,80.0
custom_pipeline_authoring.md,optional,2,1,1,100.0
custom_pipeline_authoring.md,required,8,7,1,42.9
datajoint_api.md,optional,4,0,4,0.0
datajoint_api.md,required,18,8,10,87.5
decoding_pipeline.md,optional,1,0,1,0.0
decoding_pipeline.md,required,11,10,1,70.0
dependencies.md,required,1,1,0,100.0
destructive_operations.md,required,16,11,5,63.6
export.md,required,3,1,2,100.0
feedback_loops.md,required,6,3,3,100.0
group_tables.md,optional,1,0,1,0.0
group_tables.md,required,4,3,1,66.7
ingestion.md,required,6,6,0,100.0
lfp_pipeline.md,optional,1,0,1,0.0
lfp_pipeline.md,required,17,13,4,92.3
merge_methods.md,required,17,12,5,100.0
populate_all_common_debugging.md,required,4,4,0,100.0
position_dlc_v1_pipeline.md,optional,1,1,0,0.0
position_dlc_v1_pipeline.md,required,3,3,0,100.0
position_pipeline.md,optional,2,1,1,0.0
position_pipeline.md,required,12,7,5,100.0
position_trodes_v1_pipeline.md,required,6,5,1,60.0
ripple_pipeline.md,required,11,9,2,77.8
runtime_debugging.md,distractor,2,0,2,0.0
runtime_debugging.md,optional,1,1,0,100.0
runtime_debugging.md,required,8,7,1,100.0
setup_config.md,required,4,4,0,100.0
setup_install.md,required,3,2,1,100.0
setup_troubleshooting.md,optional,1,0,1,0.0
setup_troubleshooting.md,required,6,5,1,100.0
spikesorting_v0_legacy.md,required,2,1,1,100.0
spikesorting_v1_analysis.md,required,2,2,0,50.0
spikesorting_v1_pipeline.md,optional,2,1,1,100.0
spikesorting_v1_pipeline.md,required,12,8,4,87.5
spyglassmixin_methods.md,distractor,1,0,1,0.0
spyglassmixin_methods.md,required,8,5,3,100.0
workflows.md,required,1,1,0,0.0
