resource,kind,n_labeled_evals,expected_called,expected_not_called,unexpected_called,unexpected_not_called,precision,recall,false_positive_rate,failed_expected_not_called,failed_expected_called,passed_unexpected_called
common_mistakes.md,reference,129,6,10,1,112,85.7,37.5,0.9,2,0,1
common_tables.md,reference,129,10,9,3,107,76.9,52.6,2.7,2,2,3
custom_pipeline_authoring.md,reference,129,8,2,0,119,100.0,80.0,0.0,1,4,0
datajoint_api.md,reference,129,8,14,0,107,100.0,36.4,0.0,1,1,0
decoding_pipeline.md,reference,129,10,2,4,113,71.4,83.3,3.4,1,3,3
dependencies.md,reference,129,1,0,0,128,100.0,100.0,0.0,0,0,0
destructive_operations.md,reference,129,11,5,0,113,100.0,68.8,0.0,2,4,0
export.md,reference,129,1,2,0,126,100.0,33.3,0.0,1,0,0
feedback_loops.md,reference,129,3,3,4,119,42.9,50.0,3.3,1,0,3
group_tables.md,reference,129,3,2,0,124,100.0,60.0,0.0,1,1,0
ingestion.md,reference,129,6,0,0,123,100.0,100.0,0.0,0,0,0
lfp_pipeline.md,reference,129,13,5,1,110,92.9,72.2,0.9,0,1,0
merge_methods.md,reference,129,12,5,2,110,85.7,70.6,1.8,1,0,1
mua_pipeline.md,reference,129,0,0,1,128,0.0,0.0,0.8,0,0,1
populate_all_common_debugging.md,reference,129,4,0,0,125,100.0,100.0,0.0,0,0,0
position_dlc_v1_pipeline.md,reference,129,4,0,1,124,80.0,100.0,0.8,0,1,0
position_pipeline.md,reference,129,8,6,1,114,88.9,57.1,0.9,1,1,0
position_trodes_v1_pipeline.md,reference,129,5,1,2,121,71.4,83.3,1.6,0,2,2
ripple_pipeline.md,reference,129,9,2,1,117,90.0,81.8,0.8,0,2,1
runtime_debugging.md,reference,129,8,1,1,119,88.9,88.9,0.8,1,0,0
setup_config.md,reference,129,4,0,0,125,100.0,100.0,0.0,0,0,0
setup_install.md,reference,129,2,1,0,126,100.0,66.7,0.0,0,0,0
setup_troubleshooting.md,reference,129,5,2,2,120,71.4,71.4,1.6,1,0,2
spikesorting_v0_legacy.md,reference,129,1,1,1,126,50.0,50.0,0.8,0,0,1
spikesorting_v1_analysis.md,reference,129,2,0,3,124,40.0,100.0,2.4,0,1,2
spikesorting_v1_pipeline.md,reference,129,9,5,3,112,75.0,64.3,2.6,2,1,1
spyglassmixin_methods.md,reference,129,5,3,0,121,100.0,62.5,0.0,0,0,0
workflows.md,reference,129,1,0,1,127,50.0,100.0,0.8,0,1,1
