category_kind,category,n_evals,ws_pass_rate,bs_pass_rate,skill_only,baseline_only,rescue_rate,total_extra_tokens,mean_extra_tokens,candidate_reason
tier,runtime-errors,10,100.0,100.0,0,0,0.0,200660,20066,baseline_strong_no_rescues
stage,framework-concepts,9,100.0,100.0,0,0,0.0,115294,12810,baseline_strong_no_rescues
tier,schema-introspection,7,100.0,100.0,0,0,0.0,86041,12292,baseline_strong_no_rescues
tier,merge-key-discovery,3,100.0,100.0,0,0,0.0,45990,15330,baseline_strong_no_rescues
difficulty,medium,62,87.1,64.5,14,0,63.6,918615,16702,
difficulty,hard,33,72.7,54.5,8,2,47.1,640710,21357,
stage,pipeline-usage,44,79.5,70.5,5,1,35.7,537064,16275,
stage,runtime-debugging,21,100.0,95.2,1,0,100.0,416810,19848,
difficulty,easy,35,94.3,71.4,8,0,80.0,415194,12582,
tier,adversarial,17,76.5,47.1,5,0,55.6,280261,16486,
stage,parameter-understanding,9,77.8,55.6,3,1,60.0,223169,24797,
stage,hallucination-resistance,11,100.0,72.7,3,0,100.0,158325,14393,
tier,parameter-semantics,8,87.5,50.0,3,0,75.0,156451,19556,
tier,counterfactual,7,71.4,71.4,1,1,33.3,141621,28324,
tier,baseline,7,85.7,57.1,2,0,66.7,133340,22223,
tier,dependency-tracing,6,66.7,66.7,0,0,0.0,132939,22156,
stage,setup,7,85.7,14.3,5,0,83.3,122329,17476,
stage,destructive-operations,6,50.0,33.3,1,0,25.0,119294,19882,
stage,pipeline-authoring,7,42.9,0.0,3,0,42.9,117045,16721,
stage,common-mistakes,6,100.0,83.3,1,0,100.0,111270,22254,
tier,joins,9,88.9,66.7,2,0,66.7,105990,17665,
tier,atomic-read,8,87.5,62.5,2,0,66.7,104827,13103,
tier,disambiguation,8,75.0,62.5,1,0,33.3,102105,20421,
tier,compound,4,75.0,75.0,1,1,50.0,88200,29400,
tier,table-classification,6,100.0,50.0,3,0,100.0,77115,12852,
tier,environment-triage,4,100.0,50.0,2,0,100.0,69596,17399,
tier,table-usage,5,100.0,80.0,1,0,100.0,68560,13712,
tier,merge-table-gotchas,5,100.0,80.0,1,0,100.0,60494,15124,
tier,config-troubleshooting,3,66.7,0.0,2,0,66.7,57933,19311,
tier,workflow-recovery,3,66.7,66.7,0,0,0.0,51380,17127,
stage,table-understanding,4,100.0,25.0,3,0,100.0,46541,11635,
tier,workflow-position,3,66.7,66.7,0,0,0.0,30419,15210,
stage,non-activation,2,100.0,50.0,1,0,100.0,27941,13970,
tier,resource-selection,4,75.0,50.0,1,0,50.0,17273,4318,
stage,ingestion,4,100.0,0.0,4,0,100.0,-20563,-5141,
tier,post-ingest-validation,3,100.0,0.0,3,0,100.0,-36676,-12225,
