stage,difficulty,n_evals,ws_pass,bs_pass,delta_pp
setup,medium,6,5,1,66.7
setup,hard,1,1,0,100.0
ingestion,medium,3,3,0,100.0
ingestion,hard,1,1,0,100.0
pipeline-usage,easy,14,13,10,21.4
pipeline-usage,medium,19,16,15,5.3
pipeline-usage,hard,11,6,6,0.0
hallucination-resistance,easy,4,4,3,25.0
hallucination-resistance,medium,6,6,4,33.3
hallucination-resistance,hard,1,1,1,0.0
pipeline-authoring,easy,1,0,0,0.0
pipeline-authoring,medium,2,1,0,50.0
pipeline-authoring,hard,4,2,0,50.0
table-understanding,easy,2,2,0,100.0
table-understanding,medium,2,2,1,50.0
parameter-understanding,medium,3,3,2,33.3
parameter-understanding,hard,6,4,3,16.7
common-mistakes,easy,2,2,2,0.0
common-mistakes,medium,4,4,3,25.0
destructive-operations,easy,1,1,1,0.0
destructive-operations,medium,4,1,1,0.0
destructive-operations,hard,1,1,0,100.0
non-activation,easy,2,2,1,50.0
runtime-debugging,easy,4,4,3,25.0
runtime-debugging,medium,10,10,10,0.0
runtime-debugging,hard,7,7,7,0.0
framework-concepts,easy,5,5,5,0.0
framework-concepts,medium,3,3,3,0.0
framework-concepts,hard,1,1,1,0.0
