eval_id,batch,eval_name,stage,tier,difficulty,rank,ws_pass,bs_pass,ws_expectation_rate,bs_expectation_rate,delta_expectation_pp
130,1,key-hygiene-discovery-before-fetch,pipeline-usage,disambiguation,easy,1,1,0,100.0,0.0,100.0
107,7,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,hard,2,1,0,100.0,25.0,75.0
102,4,session-recording-devices,pipeline-usage,joins,medium,3,1,0,100.0,28.6,71.4
45,7,config-permission-triage,setup,config-troubleshooting,hard,4,1,0,100.0,28.6,71.4
81,2,abstain-v1-naming-extrapolation,hallucination-resistance,adversarial,medium,5,1,0,100.0,37.5,62.5
47,7,env-conda-pip-drift,setup,environment-triage,medium,6,1,0,100.0,42.9,57.1
32,7,ingest-channel-slice-parents,ingestion,post-ingest-validation,hard,7,1,0,100.0,44.4,55.6
40,7,config-stores-cross-machine,setup,config-troubleshooting,medium,8,1,0,100.0,45.5,54.5
61,5,param-sort-group-by-electrode-group,parameter-understanding,parameter-semantics,hard,9,1,0,100.0,60.0,40.0
85,4,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,10,0,0,87.5,50.0,37.5
82,6,resource-first-ref-populate-all-common,runtime-debugging,resource-selection,easy,11,1,0,100.0,62.5,37.5
88,7,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,12,0,0,87.5,50.0,37.5
79,2,abstain-spyglassmixin-get-pk,hallucination-resistance,adversarial,easy,13,1,0,100.0,66.7,33.3
1,7,fresh-install-remote-lab-db,setup,baseline,medium,14,1,0,83.3,50.0,33.3
55,7,classify-positionoutput-merge,table-understanding,table-classification,medium,15,1,0,100.0,66.7,33.3
116,5,counterfactual-ripple-threshold,parameter-understanding,counterfactual,hard,16,1,0,100.0,70.0,30.0
94,4,usage-pick-target-sampling-rate,pipeline-usage,table-usage,easy,17,1,0,100.0,75.0,25.0
95,4,join-dependent-attr-refusal,pipeline-usage,joins,hard,18,1,0,100.0,75.0,25.0
111,7,custom-table-multiple-nwbs-blob-pushback,pipeline-authoring,parameter-semantics,hard,19,1,0,100.0,75.0,25.0
42,7,destruct-super-delete-no-cleanup,destructive-operations,adversarial,hard,20,1,0,100.0,77.8,22.2
22,7,adversarial-password-exposure,non-activation,adversarial,easy,21,1,0,100.0,80.0,20.0
33,7,ingest-task-epoch-drop,ingestion,post-ingest-validation,medium,22,1,0,100.0,80.0,20.0
56,7,classify-lfpband-role,table-understanding,table-classification,easy,23,1,0,80.0,60.0,20.0
110,7,custom-analysis-table-shape,pipeline-authoring,atomic-read,medium,24,1,0,100.0,80.0,20.0
114,7,adversarial-cross-corr-blob-column,pipeline-authoring,adversarial,hard,25,0,0,90.9,72.7,18.2
125,1,key-hygiene-blob-key-not-heading,parameter-understanding,parameter-semantics,medium,26,1,0,100.0,83.3,16.7
126,1,key-hygiene-merge-master-silent-no-op,common-mistakes,merge-table-gotchas,medium,27,1,0,100.0,83.3,16.7
100,4,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,28,0,0,85.7,71.4,14.3
53,7,classify-lfpselection,table-understanding,table-classification,easy,29,1,0,100.0,87.5,12.5
121,7,editable-install-drift-after-pull,setup,environment-triage,medium,30,1,0,100.0,87.5,12.5
104,4,probe-per-electrode-group,pipeline-usage,atomic-read,easy,31,1,0,100.0,88.9,11.1
2,7,ingest-new-nwb-file,ingestion,baseline,medium,32,1,0,100.0,88.9,11.1
83,7,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,33,0,0,77.8,66.7,11.1
89,4,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,34,0,0,70.0,60.0,10.0
34,7,ingest-device-conflict,ingestion,post-ingest-validation,medium,35,1,0,100.0,90.0,10.0
