eval_id,eval_name,stage,tier,difficulty,ws_transition,bs_transition,ws_pair_complete,tokens_ws_old,tokens_ws_new,token_delta_ws,bs_pair_complete,tokens_bs_old,tokens_bs_new,token_delta_bs,ws_duration_pair_complete,duration_ws_old,duration_ws_new,duration_delta_ws,bs_duration_pair_complete,duration_bs_old,duration_bs_new,duration_delta_bs
28,brain-region-for-curated-sorting,pipeline-usage,joins,medium,regressed,regressed,false,,49933,,true,26297,37714,11417,false,,88.6,,true,50.1,75.1,25.0
29,brain-region-for-lfp-electrode,pipeline-usage,joins,medium,stable_pass,stable_pass,true,41984,41921,-63,true,28836,31006,2170,true,60.4,57.0,-3.4,true,53.1,53.4,0.3
41,config-key-error-after-pull,setup,config-troubleshooting,medium,stable_fail,stable_fail,true,58005,83731,25726,true,26819,38726,11907,true,100.8,209.4,108.6,true,74.1,105.2,31.1
72,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,improved,improved,true,47290,79004,31714,true,25430,59823,34393,true,53.9,167.9,114.0,true,49.9,127.8,77.9
85,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,stable_fail,stable_fail,true,46916,52511,5595,true,24755,33657,8902,true,87.5,111.1,23.6,true,57.4,91.2,33.8
87,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,stable_fail,stable_fail,true,40521,58966,18445,true,25761,45280,19519,true,71.9,156.4,84.5,true,75.1,113.1,38.0
88,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,stable_fail,stable_fail,true,50739,55742,5003,true,55,33860,33805,true,70.0,83.3,13.3,true,40.4,70.3,29.9
89,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,stable_fail,stable_fail,true,42204,47803,5599,true,24103,31751,7648,true,67.2,53.7,-13.5,true,42.4,64.4,22.0
99,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,improved,improved,true,57486,66803,9317,true,26670,44663,17993,true,111.6,101.8,-9.8,true,84.3,92.9,8.6
100,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,improved,improved,true,41206,68450,27244,true,26681,41297,14616,true,56.0,132.1,76.1,true,62.8,137.7,74.9
105,camera-devices-lookup,pipeline-usage,atomic-read,easy,stable_fail,stable_fail,true,48268,41449,-6819,true,25145,29931,4786,true,99.0,78.0,-21.0,true,55.7,53.9,-1.8
106,compound-pfc-wtrack,pipeline-usage,compound,hard,improved,regressed,true,42518,49186,6668,true,26004,38751,12747,true,87.3,102.2,14.9,true,67.9,74.9,7.0
107,compound-sorted-spikes-across-sort-groups,pipeline-authoring,compound,hard,stable_pass,stable_fail,true,61375,55272,-6103,true,27634,43903,16269,true,114.7,99.9,-14.8,true,100.8,82.6,-18.2
108,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,stable_fail,stable_fail,true,40735,40514,-221,true,26551,33147,6596,true,69.9,73.7,3.8,true,83.1,56.9,-26.2
113,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,improved,stable_fail,true,45906,46979,1073,true,25391,27000,1609,true,63.9,87.0,23.1,true,59.3,66.6,7.3
118,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,stable_fail,stable_pass,true,72739,66192,-6547,true,25342,43444,18102,true,157.9,140.2,-17.7,true,68.5,112.3,43.8
