category_kind,category,n_evals,ws_pass,bs_pass,delta_pp
stage,pipeline-usage,11,5,4,9.1
stage,destructive-operations,2,1,0,50.0
stage,setup,1,0,0,0.0
stage,pipeline-authoring,1,1,0,100.0
stage,parameter-understanding,1,0,1,-100.0
tier,joins,3,1,1,0.0
tier,dependency-tracing,2,2,2,0.0
tier,counterfactual,2,0,1,-50.0
tier,disambiguation,2,0,0,0.0
tier,compound,2,2,0,100.0
tier,config-troubleshooting,1,0,0,0.0
tier,workflow-recovery,1,0,0,0.0
tier,workflow-position,1,1,1,0.0
tier,atomic-read,1,0,0,0.0
tier,adversarial,1,1,0,100.0
difficulty,medium,8,3,2,12.5
difficulty,hard,7,4,3,14.3
difficulty,easy,1,0,0,0.0
