resource,kind,n_labeled_evals,expected_called,expected_not_called,optional_called,optional_not_called,unexpected_called,unexpected_not_called,precision,recall,false_positive_rate,failed_expected_not_called,failed_expected_called,passed_unexpected_called
common_mistakes.md,reference,130,0,12,0,4,0,114,0.0,0.0,0.0,12,0,0
common_tables.md,reference,130,3,15,0,1,0,111,100.0,16.7,0.0,15,1,0
custom_pipeline_authoring.md,reference,130,0,8,1,1,0,120,0.0,0.0,0.0,8,0,0
datajoint_api.md,reference,130,0,18,0,4,0,108,0.0,0.0,0.0,16,0,0
decoding_pipeline.md,reference,130,3,8,0,1,1,117,75.0,27.3,0.8,8,1,0
dependencies.md,reference,130,0,1,0,0,0,129,0.0,0.0,0.0,1,0,0
destructive_operations.md,reference,130,5,11,0,0,0,114,100.0,31.2,0.0,11,4,0
export.md,reference,130,0,3,0,0,0,127,0.0,0.0,0.0,3,0,0
feedback_loops.md,reference,130,0,6,0,0,0,124,0.0,0.0,0.0,5,0,0
group_tables.md,reference,130,2,2,0,1,0,125,100.0,50.0,0.0,2,1,0
ingestion.md,reference,130,0,6,0,0,0,124,0.0,0.0,0.0,6,0,0
lfp_pipeline.md,reference,130,1,16,0,1,0,112,100.0,5.9,0.0,16,0,0
merge_methods.md,reference,130,0,17,0,0,0,113,0.0,0.0,0.0,17,0,0
populate_all_common_debugging.md,reference,130,0,4,0,0,0,126,0.0,0.0,0.0,4,0,0
position_dlc_v1_pipeline.md,reference,130,0,3,0,1,0,126,0.0,0.0,0.0,3,0,0
position_pipeline.md,reference,130,0,12,1,1,1,115,0.0,0.0,0.9,12,0,1
position_trodes_v1_pipeline.md,reference,130,1,5,0,0,0,124,100.0,16.7,0.0,5,1,0
ripple_pipeline.md,reference,130,2,9,0,0,0,119,100.0,18.2,0.0,9,1,0
runtime_debugging.md,reference,130,1,7,0,1,1,120,50.0,12.5,0.8,7,0,0
setup_config.md,reference,130,0,4,0,0,0,126,0.0,0.0,0.0,4,0,0
setup_install.md,reference,130,0,3,0,0,0,127,0.0,0.0,0.0,3,0,0
setup_troubleshooting.md,reference,130,1,5,0,1,0,123,100.0,16.7,0.0,5,1,0
spikesorting_v0_legacy.md,reference,130,0,2,0,0,0,128,0.0,0.0,0.0,2,0,0
spikesorting_v1_analysis.md,reference,130,2,0,0,0,0,128,100.0,100.0,0.0,0,1,0
spikesorting_v1_pipeline.md,reference,130,3,9,0,2,0,116,100.0,25.0,0.0,9,2,0
spyglassmixin_methods.md,reference,130,0,8,0,0,0,122,0.0,0.0,0.0,8,0,0
workflows.md,reference,130,0,1,0,0,0,129,0.0,0.0,0.0,0,0,0
