category_kind,category,n_evals,ws_pass_rate,bs_pass_rate,skill_only,baseline_only,rescue_rate,total_extra_tokens,mean_extra_tokens,candidate_reason
stage,pipeline-usage,11,45.5,36.4,1,0,14.3,169520,15411,
difficulty,medium,8,37.5,25.0,1,0,16.7,160572,20072,
difficulty,hard,7,57.1,42.9,2,1,40.0,118413,16916,
stage,setup,1,0.0,0.0,0,0,0.0,45005,45005,
tier,config-troubleshooting,1,0.0,0.0,0,0,0.0,45005,45005,
stage,destructive-operations,2,50.0,0.0,1,0,50.0,41861,20930,
tier,dependency-tracing,2,100.0,100.0,0,0,0.0,41321,20660,
tier,joins,3,33.3,33.3,0,0,0.0,39186,13062,
tier,counterfactual,2,0.0,50.0,0,1,0.0,36434,18217,
tier,disambiguation,2,0.0,0.0,0,0,0.0,29249,14624,
tier,workflow-position,1,100.0,100.0,0,0,0.0,27153,27153,
stage,parameter-understanding,1,0.0,100.0,0,1,0.0,22748,22748,
tier,compound,2,100.0,0.0,2,0,100.0,21804,10902,
tier,adversarial,1,100.0,0.0,1,0,100.0,19979,19979,
tier,workflow-recovery,1,0.0,0.0,0,0,0.0,18854,18854,
difficulty,easy,1,0.0,0.0,0,0,0.0,11518,11518,
tier,atomic-read,1,0.0,0.0,0,0,0.0,11518,11518,
stage,pipeline-authoring,1,100.0,0.0,1,0,100.0,11369,11369,
